,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,2243.7879957695036,7204.84968729142,8240.564701781203,1719.8812766659435,2912.600804818657,34345.779880384864,5724.234436231224,5163.138482574698,2933.8256398774984,2157.1898863819247,4251.803670781865,20437.06035483718,1793.0881497445328,8148.065637878744,3007.873333367359,13908.400369085804
1,2021.6521620773233,6723.075800097415,7797.297289445136,1669.5207684029313,2778.1367198781645,33265.893181738065,5686.6436160039775,5021.096387040609,2865.711976863825,2104.886888482057,4203.814380365073,20195.18320629631,1695.1343111916894,7686.460814017239,2810.4927975189453,12954.734971373877
2,1838.8881199147977,6326.692463071549,7559.018757460661,1642.4494619072382,2705.8555102232467,32685.399759252876,5706.4079817536995,4922.446570237806,2818.406279543595,2068.5618741146013,4170.485283872145,19743.61414065591,1560.3106965321253,7051.10816406748,2538.818326158962,11642.110392339036
3,1710.2633642007604,6047.727797534507,7503.65566585741,1636.15954896855,2689.0612518484313,32550.52436675958,5787.25468934099,4847.8885997678735,2782.653382091067,2041.1080030755656,4145.295680154214,19423.761648790874,1428.7087749827301,6430.937656059542,2273.635683213454,10360.851784118673
4,1665.802903057448,5951.300810337414,7501.986920547546,1635.9699594349468,2688.5550420417885,32546.4589745981,5967.080668967653,4750.876243107902,2736.1328985340374,2005.3859372501574,4112.519803817923,19234.941301535895,1309.2774590531678,5868.120798979739,2032.9772518183318,9198.084555310375
5,1755.0586946982978,6144.88105796634,7818.194131650225,1671.8949009587043,2784.4757258304517,33316.802004071906,6278.117076382329,4681.900061897901,2703.0566450104434,1979.987402770625,4089.2160220799688,19348.285302998185,1306.1138350173126,5853.2123059853875,2026.6024346938027,9167.28393719333
6,2043.9051645848144,6771.3386820538135,8643.862872525246,1765.7007984601928,3034.9403181193943,35328.293636313494,6582.119008853703,5024.625076492625,2867.4040947061503,2106.1862289085984,4205.006557249444,20103.712644103492,1446.1394540266788,6513.079261214993,2308.759133409234,10530.554530926995
7,2344.864418082086,7424.066821563756,9906.867544107241,1909.1933165864853,3418.0696949098597,38405.221710006634,6762.151743733067,5406.970458241396,3050.750759575791,2246.974138460599,4334.182936232517,20834.590389414785,1677.3612194563798,7602.70559828339,2774.6793733364316,12781.698540655741
8,2480.6990320791283,7718.668412460326,10523.832752267503,1979.2879831440828,3605.2245812079145,39908.270441491084,6837.934968507293,5861.906454618522,3268.9069127464877,2414.4914957173874,4487.884242659354,21669.667175093466,1957.4354708182987,8922.547958502046,3339.0391434881276,15508.463782937119
9,2521.6070768368186,7807.390827987977,10957.530553717324,2028.561268537336,3736.785748101095,40964.84368370123,6868.746951198817,6031.753865146055,3350.354100926284,2477.033017107344,4545.26763087042,22192.790167285246,2240.1815163624533,10254.981076787011,3908.7826757787807,18261.241254030047
