,index,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,CapacityNational_2030_Wind_on,CapacityNational_2030_PV,CapacityNational_2023_Wind_on,CapacityNational_2023_PV,RemainingPotentialNational_PV,RemainingPotentialNational_Wind_on,Capacity_PV_2030,Capacity_Wind_on_2030,problem_PV,problem_Wind_on,Node,lon,lat
0,0,UKF3,UK,Lincolnshire,143.3,515.287,18155.0,46470.0,18011.7,45954.713,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,871.2424413431431,642.2767989470628,False,False,UK2,-0.25078,53.11444
1,1,UKE1,UK,East Yorkshire and Northern Lincolnshire,413.2,211.213,10155.0,29960.0,9741.8,29748.787,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,441.6407823693112,683.0763681375159,False,False,UK2,-0.49473,53.78687
2,2,UKE2,UK,North Yorkshire,42.5,175.628,13775.0,38300.0,13732.5,38124.372,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,470.9312839349941,422.9304364130282,False,False,UK2,-1.40792,54.18297
3,3,UKE3,UK,South Yorkshire,150.5,114.713,1480.0,12320.0,1329.5,12205.287,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,209.2525594311453,187.33104061249742,False,False,UK2,-1.33165,53.48441
4,4,UKE4,UK,West Yorkshire,28.3,127.988,1380.0,17760.0,1351.7,17632.012,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,264.56181808102235,65.74604557797126,False,False,UK2,-1.68885,53.74339
5,5,UKF1,UK,Derbyshire and Nottinghamshire,67.8,749.759,6400.0,32409.999999999996,6332.2,31660.240999999995,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,994.992498861918,243.22047037717653,False,False,UK2,-1.34072,53.13189
6,6,UKF2,UK,"Leicestershire, Rutland and Northamptonshire",187.9,537.687,11440.0,42710.0,11252.1,42172.313,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,864.344774717822,499.61609783819665,False,False,UK4,-0.95781,52.49341
7,7,UKM7,UK,Eastern Scotland,1213.8,185.04,46785.0,67630.0,45571.2,67444.96,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,707.4543278442545,2476.255598315339,False,False,UK3,-3.59446,56.40229
8,8,UKM8,UK,West Central Scotland,133.9,52.672,3022.483238,5247.682017,2888.5832379999997,5195.0100170000005,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,92.91144363189221,213.92220876371368,False,False,UK3,-4.37939,55.92566
9,9,UKM9,UK,Southern Scotland,4394.4,60.295,24272.51676,42142.31798,19878.116759999997,42082.02298,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,386.25340740988173,4945.082005030105,False,False,UK3,-3.70235,55.35375
10,10,UKN0,UK,Northern Ireland,1319.7,314.232,29125.0,79530.0,27805.3,79215.768,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,927.8205052698734,2089.988178670684,False,False,UK3,-6.69342,54.60952
11,11,UKD4,UK,Lancashire,184.4,161.09,3170.0,18160.0,2985.6,17998.91,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,300.5057320217735,267.1098569783169,False,False,UK2,-2.60965,53.83859
12,12,UKC1,UK,Tees Valley and Durham,170.5,133.578,4040.0,18060.0,3869.5,17926.422,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,272.4322553777548,277.69647359914165,False,False,UK2,-1.69012,54.66236
13,13,UKC2,UK,Northumberland and Tyne and Wear,297.2,114.343,10490.0,29360.0,10192.8,29245.657,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,340.87364430638877,579.5703879316012,False,False,UK2,-2.01907,55.21096
14,14,UKD1,UK,Cumbria,193.4,113.394,9330.0,22580.0,9136.6,22466.606,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,287.41555583503487,446.5105570967612,False,False,UK2,-2.89932,54.59061
15,15,UKD3,UK,Greater Manchester,38.4,137.894,410.0,13640.0,371.6,13502.106,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,242.47844382607502,48.6944074400933,False,False,UK2,-2.28503,53.51492
16,16,UKD6,UK,Cheshire,50.4,148.701,3835.0,18410.0,3784.6,18261.299,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,290.1491414570927,155.24449515009985,False,False,UK2,-2.5224,53.20471
17,17,UKD7,UK,Merseyside,13.0,68.4,165.0,7640.0,152.0,7571.6,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,127.04800460561557,17.210844808649576,False,False,UK2,-2.89787,53.43196
18,18,UKK3,UK,Cornwall and Isles of Scilly,109.0,572.799,6165.0,20500.0,6056.0,19927.201,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,727.1508643384525,276.76892211303834,False,False,UK4,-4.8341,50.40327
19,19,UKI5,UK,Outer London — East and North East,10.4,41.076,15.0,0.0,4.6,0.0,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,41.076,10.527433461314395,True,False,UK4,0.08658,51.55979
20,20,UKK4,UK,Devon,126.8,670.484,12085.0,36790.0,11958.2,36119.516,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,950.2580953986748,458.07713414995624,False,False,UK4,-3.81104,50.75244
21,21,UKL1,UK,West Wales and The Valleys,938.6,791.182,24850.0,61760.0,23911.4,60968.818,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,1263.4335081175627,1601.015753668049,False,False,UK4,-4.03926,52.35575
22,22,UKI6,UK,Outer London — South,0.0,30.522,15.0,0.0,15.0,0.0,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,30.522,0.41554389559041854,True,False,UK4,-0.07339,51.37256
23,23,UKI7,UK,Outer London — West and North West,0.0,53.642,15.0,0.0,15.0,0.0,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,53.642,0.41554389559041854,True,False,UK4,-0.33487,51.53954
24,24,UKJ1,UK,"Berkshire, Buckinghamshire and Oxfordshire",16.0,700.191,7630.0,36190.0,7614.0,35489.809,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,975.087518791856,226.93008140169644,False,False,UK4,-1.09654,51.71938
25,25,UKJ2,UK,"Surrey, East and West Sussex",7.5,414.663,2440.0,25210.0,2432.5,24795.337,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,606.7224112966599,74.88736840157955,False,False,UK4,-0.22168,51.04009
26,26,UKJ3,UK,Hampshire and Isle of Wight,0.0,649.402,4275.0,22390.0,4275.0,21740.597999999998,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,817.8000521465525,118.4300102432693,False,False,UK4,-1.2881,51.02741
27,27,UKJ4,UK,Kent,81.4,463.496,2910.0,20940.0,2828.6,20476.504,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,622.1026486474332,159.76049753780387,False,False,UK1,0.72155,51.22974
