,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,Node
0,UKF3,UK,Lincolnshire,143.3,515.287,18155.0,46470.0,18011.7,45954.713,UK2
1,UKE1,UK,East Yorkshire and Northern Lincolnshire,413.2,211.213,10155.0,29960.0,9741.8,29748.787,UK2
2,UKE2,UK,North Yorkshire,42.5,175.628,13775.0,38300.0,13732.5,38124.372,UK2
3,UKE3,UK,South Yorkshire,150.5,114.713,1480.0,12320.0,1329.5,12205.287,UK2
4,UKE4,UK,West Yorkshire,28.3,127.988,1380.0,17760.0,1351.7,17632.012,UK2
5,UKF1,UK,Derbyshire and Nottinghamshire,67.8,749.759,6400.0,32409.999999999996,6332.2,31660.240999999995,UK2
6,UKF2,UK,"Leicestershire, Rutland and Northamptonshire",187.9,537.687,11440.0,42710.0,11252.1,42172.313,UK4
7,UKM7,UK,Eastern Scotland,1213.8,185.04,46785.0,67630.0,45571.2,67444.96,UK3
8,UKM8,UK,West Central Scotland,133.9,52.672,3022.483238,5247.682017,2888.5832379999997,5195.0100170000005,UK3
9,UKM9,UK,Southern Scotland,4394.4,60.295,24272.51676,42142.31798,19878.116759999997,42082.02298,UK3
10,UKN0,UK,Northern Ireland,1319.7,314.232,29125.0,79530.0,27805.3,79215.768,UK3
11,UKD4,UK,Lancashire,184.4,161.09,3170.0,18160.0,2985.6,17998.91,UK2
12,UKC1,UK,Tees Valley and Durham,170.5,133.578,4040.0,18060.0,3869.5,17926.422,UK2
13,UKC2,UK,Northumberland and Tyne and Wear,297.2,114.343,10490.0,29360.0,10192.8,29245.657,UK2
14,UKD1,UK,Cumbria,193.4,113.394,9330.0,22580.0,9136.6,22466.606,UK2
15,UKD3,UK,Greater Manchester,38.4,137.894,410.0,13640.0,371.6,13502.106,UK2
16,UKD6,UK,Cheshire,50.4,148.701,3835.0,18410.0,3784.6,18261.299,UK2
17,UKD7,UK,Merseyside,13.0,68.4,165.0,7640.0,152.0,7571.6,UK2
18,UKK3,UK,Cornwall and Isles of Scilly,109.0,572.799,6165.0,20500.0,6056.0,19927.201,UK4
19,UKI5,UK,Outer London — East and North East,10.4,41.076,15.0,0.0,4.6,0.0,UK4
20,UKK4,UK,Devon,126.8,670.484,12085.0,36790.0,11958.2,36119.516,UK4
21,UKL1,UK,West Wales and The Valleys,938.6,791.182,24850.0,61760.0,23911.4,60968.818,UK4
22,UKI6,UK,Outer London — South,0.0,30.522,15.0,0.0,15.0,0.0,UK4
23,UKI7,UK,Outer London — West and North West,0.0,53.642,15.0,0.0,15.0,0.0,UK4
24,UKJ1,UK,"Berkshire, Buckinghamshire and Oxfordshire",16.0,700.191,7630.0,36190.0,7614.0,35489.809,UK4
25,UKJ2,UK,"Surrey, East and West Sussex",7.5,414.663,2440.0,25210.0,2432.5,24795.337,UK4
26,UKJ3,UK,Hampshire and Isle of Wight,0.0,649.402,4275.0,22390.0,4275.0,21740.597999999998,UK4
27,UKJ4,UK,Kent,81.4,463.496,2910.0,20940.0,2828.6,20476.504,UK1
28,UKK1,UK,"Gloucestershire, Wiltshire and Bristol/Bath area",43.6,1222.954,7290.0,36350.0,7246.4,35127.046,UK4
29,UKL2,UK,East Wales,236.3,390.977,15975.0,38070.0,15738.7,37679.023,UK4
30,UKM5,UK,North Eastern Scotland,492.5,100.209,17690.0,32860.0,17197.5,32759.791,UK3
31,UKM6,UK,Highlands and Islands,3357.6,39.829,63630.0,32119.999999999996,60272.4,32080.170999999995,UK3
32,UKG1,UK,"Herefordshire, Worcestershire and Warwickshire",2.5,424.428,11185.0,45880.0,11182.5,45455.572,UK4
33,UKG2,UK,Shropshire and Staffordshire,4.0,397.773,11320.0,43190.0,11316.0,42792.227,UK4
34,UKG3,UK,West Midlands,0.0,96.507,55.0,12270.0,55.0,12173.493,UK4
35,UKH1,UK,East Anglia,329.0,1470.7,33530.0,95270.0,33201.0,93799.3,UK1
36,UKH2,UK,Bedfordshire and Hertfordshire,31.6,232.449,4075.0,24140.0,4043.4,23907.551,UK4
37,UKH3,UK,Essex,83.0,386.027,5020.0,30820.0,4937.0,30433.973,UK1
38,UKI3,UK,Inner London — West,0.0,13.092,0.0,21050.0,0.0,21036.908,UK4
39,UKI4,UK,Inner London — East,0.0,30.665,0.0,12830.0,0.0,12799.335,UK4
40,UKK2,UK,Dorset and Somerset,2.0,926.067,8785.0,32210.0,8783.0,31283.933,UK4
41,BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,0.0,251.63,0.0,4580.0,0.0,4328.37,BE2
