LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
NO_A-NO1;289.6322329;0;10;NO_A;NO1;NO-NO;offshore
NO_B-NO1;196.6514303;0;10;NO_B;NO1;NO-NO;offshore
NO_C-NO1;608.8383316;0;10;NO_C;NO1;NO-NO;offshore
NO_D-NO1;1569.069108;0;10;NO_D;NO1;NO-NO;offshore
DK_C-DK1;215.7562174;0;10;DK_C;DK1;DK-DK;offshore
UK_K-UK3;263.6615192;0;10;UK_K;UK3;UK-UK;offshore
UK_L-UK3;497.6588069;0;10;UK_L;UK3;UK-UK;offshore
UK_I-UK3;261.4652038;0;10;UK_I;UK3;UK-UK;offshore
UK_J-UK3;288.0822718;0;10;UK_J;UK3;UK-UK;offshore
UK_H-UK2;192.4497938;0;10;UK_H;UK2;UK-UK;offshore
UK_N-UK1;130.9050327;0;10;UK_N;UK1;UK-UK;offshore
UK_M-UK1;91.50179839;0;10;UK_M;UK1;UK-UK;offshore
NL_F-NL2;107.9637034;0;10;NL_F;NL2;NL-NL;offshore
NL_G-NL3;123.3937275;0;10;NL_G;NL3;NL-NL;offshore
DE_G-DE3;268.6814119;0;10;DE_G;DE3;DE-DE;offshore
DE_G-DE2;248.550387;0;10;DE_G;DE2;DE-DE;offshore
DE_G-DE1;405.4597097;0;10;DE_G;DE1;DE-DE;offshore
DE_H-DE3;348.888234;0;10;DE_H;DE3;DE-DE;offshore
DE_H-DE2;304.272108;0;10;DE_H;DE2;DE-DE;offshore
DE_H-DE1;438.1855523;0;10;DE_H;DE1;DE-DE;offshore
DE_I-DE3;461.112088;0;10;DE_I;DE3;DE-DE;offshore
DE_I-DE2;415.8059471;0;10;DE_I;DE2;DE-DE;offshore
DE_I-DE1;536.5802695;0;10;DE_I;DE1;DE-DE;offshore
