LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
;534.222004;0;5;NO1;DE_B;;offshore
;269.4739926;0;5;DE_B;DE3;;offshore
;223.4365296;0;5;DE_B;DE2;;offshore
;154.593998;0;5;DK_A;DK1;;offshore
;269.4739926;0;5;DE_B;DE3;;offshore
;223.4365296;0;5;DE_B;DE2;;offshore
;107.7834359;0;5;NL_A;NL2;;offshore
;136.844945;0;5;NL_A;NL1;;offshore
;142.3220449;0;5;NL_B;NL2;;offshore
;165.6669739;0;5;NL_B;NL1;;offshore
;195.7697549;0;5;BE_A;BE2;;offshore
;157.5301735;0;5;UK_B;UK1;;offshore
;195.0539312;0;5;UK_B;UK2;;offshore
;256.7334302;0;5;UK_C;UK2;;offshore
;220.7530783;0;5;UK_E;UK3;;offshore
;175.9743543;0;5;UK_D;UK3;;offshore
