,DE,BE,DK,UK,NL,NO
0,49438.34558,10104.0368140793,6099.992655934862,33810.77080293296,15275.270822644188,21828.555021274442
1,47811.16413,9368.99080005379,6060.920058999713,32115.64937167196,14991.230768884277,21595.09385851283
2,46789.85503,8769.73555201635,6086.399145941528,29864.90926774609,14781.263269737592,21173.159897350142
3,45328.17261,8346.58364797668,6169.1934895398535,27616.75753110845,14601.120558056977,20858.090779456994
4,45343.56822,8210.22241670993,6345.981957597582,25727.01630436972,14303.886305290624,20567.044368080908
5,46537.22761,8523.94897407532,6691.883723725106,26028.47900448783,13981.1404645683,20592.13137911882
6,48227.60885,9530.86162848929,7040.591705594454,28294.93400618343,14546.561814968853,21360.02648447715
7,52745.09598,10568.7086060855,7214.993561899176,31711.69000768523,15271.518561078152,22118.22032241129
8,54923.83777,11026.1198092902,7257.33141031822,36767.01869577787,16222.74994943717,22996.344485489706
9,56434.82266,11165.0783835569,7270.92710491495,41870.18387462133,16576.06555987698,23557.121457356217
10,58376.56239,11113.4826106802,7180.269667194945,45267.58110863224,16550.567279186813,23779.80030766622
11,58569.11141,11096.142689317,7036.502981053157,47650.91864075068,16356.44034364201,23788.013691154214
12,57689.33367,10810.3876450217,6970.967929033937,48839.94342676351,16562.047226286017,23883.06702829593
13,56568.9869,10844.4169798049,6941.042203882909,48440.37182779483,16301.858673359027,24103.091859395925
14,56724.05431,10803.2630253434,6980.275636848639,47509.72664916774,16188.739911627934,24318.45476658146
15,58452.41342,10721.1891035846,7275.424436925884,48469.81058105936,16493.833457934918,24858.83873875572
16,61531.09392,10731.5130363897,7788.228633732537,51203.68954855778,17323.449933403095,25096.018814838637
17,62030.16751,11514.180776348,7798.742692673746,53097.14730834662,17848.762424565724,25037.731223942752
18,61378.99,11904.5934060331,7479.710874619914,52912.82824310519,18275.042972826857,25028.495075961357
19,59361.75024,11567.4589146351,7092.309273295016,50690.35491677999,18322.181395604293,24675.566718806363
20,57567.8217,11015.4673642527,6718.326868889248,47149.77544882114,17870.2656970728,24242.11361082382
21,56980.89263,10565.7212767688,6402.394798802876,44572.23780264622,17303.494743368887,23605.28547992238
22,54114.28141,10978.307976477,6134.350587360212,39628.50076756312,16689.653263634835,23529.480433906177
23,50391.65552,11028.1018633,5946.442339094914,35368.11833875602,16032.118792044603,22945.883715110598
24,55496.63019,12789.5040376638,6657.024383186883,32906.4526976384,15054.435323912938,23007.69317631007
25,55162.5053,12080.8254645904,6607.1850014867105,31338.62530336022,14659.917004394707,22757.202622140474
26,54958.66896,11501.8703015742,6639.7239150025,29138.8616721743,14409.12896364127,22391.341152759393
27,54904.95874,11092.3405304175,6758.313767274524,26982.9754193163,14229.830793186538,22325.637560853564
28,55825.21914,10954.913252305,7128.243570881094,25247.98704207913,14118.154182727685,22983.135019382684
29,61678.66228,11246.0393077715,8025.526092898383,26243.69109855816,14336.963736876933,24614.70850710944
30,67626.08476,12188.075779611,8919.570531213718,30472.59796860042,15664.59076826874,26578.70274737925
31,71349.90582,13168.2856040582,9192.684274272058,35971.176883,16843.952926059268,27417.69143386251
32,72607.61869,13604.4780997363,9148.31406735224,40830.54887209821,17994.832760886857,27863.376294552778
33,73790.3962,13737.0535705456,9144.115074272651,44766.67130983937,18454.5483763443,27903.148916866656
34,75113.81447,13687.8561199668,8988.37788873303,47002.69168357408,18463.7668524897,27710.26680724631
35,75915.06847,13667.14860246,8735.70624190013,48645.07099639274,18253.04834422645,27439.168780606124
36,75447.97444,13395.3589262286,8638.66071339319,49245.35932455792,18466.381432869555,27260.450215551813
37,74276.4271,13430.7139476554,8498.59017204243,48457.0159210965,18178.482395946805,27180.658717592494
38,73954.81716,13398.966325194,8374.041739615566,47320.53429435747,18018.829343973663,27035.9116966464
39,75132.66018,13320.3644938075,8574.539167478037,48081.92484389959,18365.92710218545,27193.37418662166
40,76917.18178,13333.3606987456,9277.045518539235,51024.84252658843,19324.821733567383,27183.723727860757
41,77467.58152,14077.596703656,9344.924267761706,53202.62819518383,19542.43762389354,27002.65072562181
42,76893.70465,14453.7073189049,8938.72947339554,53121.56369458459,19575.260899459605,26886.659151003674
43,72853.27448,14142.2812857515,8424.682132464737,51014.42457814475,19327.483289708376,26370.117322186998
44,69498.87654,13626.1966226244,7961.40384163598,47456.28607108204,18694.222025243555,25719.356616741155
45,67140.1455,13210.435449582,7489.344307703781,44567.48478570663,17875.343675349315,24748.180332174557
46,63107.50432,13609.6035484764,7041.398829476351,39107.31312902411,16983.01110212039,24222.46554279497
47,58840.85655,13664.7419795654,6727.481284053747,34286.26131436411,16043.268889064737,23315.133810490886
48,57780.40983,13214.1519307247,6178.027154150997,31876.93494040057,14787.988717134454,22389.2536103009
49,57448.24218,12514.3650640305,6143.706920227332,30238.98178918274,14389.19231776175,22180.69516660953
