,Technology,Country,Capacity TYNDP,Capacity ERAA
0,Biofuels,AL,0.0,0.0
1,Coal & Lignite,AL,0.0,0.0
2,Gas,AL,300.0,300.0
3,Nuclear,AL,0.0,0.0
4,Oil,AL,0.0,0.0
5,Solar,AL,500.0,500.0
6,Wind Offshore,AL,0.0,0.0
7,Wind Onshore,AL,200.0,200.0
8,Biofuels,AT,585.915,761.5595554814278
9,Coal & Lignite,AT,0.0,0.0
10,Gas,AT,4086.012,4105.53
11,Nuclear,AT,0.0,0.0
12,Oil,AT,163.61,120.0
13,Solar,AT,12000.0,12000.257
14,Wind Offshore,AT,0.0,0.0
15,Wind Onshore,AT,9000.001,7500.004153438355
16,Biofuels,BA,0.0,0.0
17,Coal & Lignite,BA,1918.0,1648.0
18,Gas,BA,0.0,0.0
19,Nuclear,BA,0.0,0.0
20,Oil,BA,0.0,0.0
21,Solar,BA,350.0,385.8
22,Wind Offshore,BA,0.0,0.0
23,Wind Onshore,BA,734.6,750.0
24,Biofuels,BE,903.6,1061.0249999999996
25,Coal & Lignite,BE,0.0,0.0
26,Gas,BE,10109.598,5991.1
27,Nuclear,BE,0.0,2077.0
28,Oil,BE,158.0,158.0
29,Solar,BE,10400.0,11354.999
30,Wind Offshore,BE,5800.0,5800.0
31,Wind Onshore,BE,4669.0,4989.4
32,Biofuels,BG,302.0,302.0
33,Coal & Lignite,BG,2519.0,2504.0
34,Gas,BG,2004.994,2507.0
35,Nuclear,BG,1960.0,2000.0
36,Oil,BG,0.0,0.0
37,Solar,BG,3216.237,3216.237
38,Wind Offshore,BG,0.0,0.0
39,Wind Onshore,BG,948.0,948.0
40,Biofuels,CH,400.0,440.0
41,Coal & Lignite,CH,0.0,0.0
42,Gas,CH,640.0,550.0
43,Nuclear,CH,1190.0,1190.0
44,Oil,CH,0.0,0.0
45,Solar,CH,9800.0,9770.0
46,Wind Offshore,CH,0.0,0.0
47,Wind Onshore,CH,300.0,310.0
48,Biofuels,CY,15.0,15.0
49,Coal & Lignite,CY,0.0,0.0
50,Gas,CY,1210.005,1315.0
51,Nuclear,CY,0.0,0.0
52,Oil,CY,287.7,647.7
53,Solar,CY,800.0,957.0
54,Wind Offshore,CY,0.0,0.0
55,Wind Onshore,CY,198.0,198.0
56,Biofuels,CZ,676.453,715.6829603581901
57,Coal & Lignite,CZ,2849.9970000000003,2849.85
58,Gas,CZ,5752.998,3954.212671463235
59,Nuclear,CZ,4047.0,4047.1
60,Oil,CZ,0.0,0.0
61,Solar,CZ,8158.59,8132.905439999998
62,Wind Offshore,CZ,0.0,0.0
63,Wind Onshore,CZ,741.51,751.414376657825
64,Biofuels,DE,7570.4,12034.289999999999
65,Coal & Lignite,DE,17041.903,0.0
66,Gas,DE,35768.797,35448.620054347826
67,Nuclear,DE,0.0,0.0
68,Oil,DE,850.934,849.6499999999999
69,Solar,DE,96139.648,200000.0
70,Wind Offshore,DE,23632.784,30048.0
71,Wind Onshore,DE,75371.898,110000.0
72,Biofuels,DK,2240.479,2345.039845737806
73,Coal & Lignite,DK,0.0,2.84685
74,Gas,DK,1663.4790000000003,859.076304262194
75,Nuclear,DK,0.0,0.0
76,Oil,DK,815.625,556.1
77,Solar,DK,6466.973,8483.013975575635
78,Wind Offshore,DK,6829.700000000001,5339.700000000001
79,Wind Onshore,DK,6156.593,5649.701500107729
80,Biofuels,DZ,0.0,
81,Coal & Lignite,DZ,0.0,
82,Gas,DZ,26459.998,
83,Nuclear,DZ,0.0,
