,Node1_ours,Node2_ours,s_nom,s_nom_max,Country1,Country2
0,BE1,UK1,0.0,10000.0,BE,UK
1,BE2,DE1,0.0,10000.0,BE,DE
2,DE1,DE2,0.0,10000.0,DE,DE
3,DE2,UK1,0.0,10000.0,DE,UK
4,DE3,DE4,0.0,10000.0,DE,DE
5,DE3,NO1,0.0,10000.0,DE,NO
6,DE3,export,600.0,10600.0,DE,ex
7,DE4,DE1,0.0,10000.0,DE,DE
8,DE4,DK1,600.0,10600.0,DE,DK
9,DE4,export,0.0,10000.0,DE,ex
10,DK1,NL3,0.0,10000.0,DK,NL
11,DK1,NO1,1140.0,11140.0,DK,NO
12,DK1,UK2,0.0,10000.0,DK,UK
13,DK1,export,300.0,10300.0,DK,ex
14,NL3,NO1,700.0,10700.0,NL,NO
15,UK1,NL1,1000.0,11000.0,UK,NL
16,UK2,NO1,0.0,10000.0,UK,NO
17,UK3,NO1,0.0,10000.0,UK,NO
18,UK4,UK3,2200.0,12200.0,UK,UK
19,UK4,export,500.0,20500.0,UK,ex
20,export,UK1,2000.0,12000.0,ex,UK
21,export,UK4,0.0,30000.0,ex,UK
