,UK_L,UK_K,UK_J,UK_I,UK_H,UK_G,UK_F,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
0,0.4773819405602883,0.418777642982442,0.07225449216861295,0.6751284405426888,0.08024320326497984,0.01924613502929018,0.0,0.10798248368714927,0.525505803600374,0.9828536186158783,0.6420664446402233,0.0,0.0,0.19729448135504604,0.34423963526871,0.052420930801050564,0.005344030337808033
1,0.6776115305459376,0.566690381241591,0.22442485879065777,0.7514196864533702,0.09209469292869867,0.02099509466220063,0.0,0.13814685584720268,0.6211013462817598,0.9791569287267722,0.7498069424733829,0.0,0.004614990758349801,0.3069044079237755,0.35949485472188747,0.05959459874834012,0.028194778242733486
2,0.8491055069353984,0.688209190919846,0.49750333327358415,0.8352929042779316,0.1201316953229569,0.028704740112378047,0.005555564327496364,0.13249587313622568,0.7123962734341738,0.9799181534505241,0.839161383028388,0.00026066266178784186,0.029786312083592874,0.46476722608915283,0.3668787263668588,0.04296447490975765,0.08045905576928025
3,0.9648365337543504,0.7388575180090501,0.7159422148881387,0.9169674208314246,0.1660471170237541,0.0426212254104952,0.01517488193166945,0.10446571008180747,0.7392972543472058,0.9757115700166857,0.8342925592086502,0.0,0.05859862986757246,0.5200451451080735,0.3169246945308163,0.04997123556906915,0.15457036487180076
4,0.9961117454527268,0.7973871570751759,0.8987155229723909,0.9716130911759453,0.18694669155613283,0.0674639677961,0.03109415399781058,0.07655464887759585,0.7719329250665069,0.9636551429444886,0.8841324275673603,0.002553814399776375,0.10797915943908731,0.4647627214322158,0.2911335203140699,0.10187496227047056,0.23200666352650487
5,1.0,0.8512810381409408,0.976683939852834,0.9914484500579511,0.1995197956846714,0.05829897106207567,0.05451800102922471,0.06428513118335946,0.8330712775233203,0.9634302093557532,0.9063412986757436,0.024866665443866315,0.18680579197485314,0.40683767808952415,0.33865871839454936,0.23264903430423275,0.3055023968180197
6,1.0,0.8880695906391045,1.0,1.0,0.2073210536201448,0.08204280448594149,0.09453136594470979,0.06936876867220386,0.8336079354138911,0.9653894313037814,0.8864317210743985,0.0637104322225935,0.28612230947478706,0.36718038174454926,0.4574186192547329,0.4036559155206597,0.27908492106560834
7,1.0,0.8855741436643879,1.0,1.0,0.281373004057584,0.10350042779913729,0.1272440072646704,0.0805914180034464,0.8237158572099826,0.9646731377104509,0.8751205258147169,0.1483015571970256,0.35451429078016655,0.39795722817134793,0.6422018019461806,0.5389195394945184,0.28616467830915665
8,1.0,0.8362426678563195,1.0,1.0,0.3967094240282905,0.1549164112287383,0.16586193768289487,0.09668490792470606,0.8672192368199314,0.9609548330752966,0.8902564158914641,0.2609888862927899,0.3912114533092501,0.4436997445752699,0.7367719932106321,0.5454147334028353,0.30378691071058056
9,1.0,0.7843840478375989,1.0,1.0,0.5187548475258424,0.2584411339266505,0.19227338531093874,0.08911635467285337,0.9351673494449533,0.9451219898705433,0.9197963591971329,0.29500626552561354,0.39959328891810525,0.4888216307248969,0.768100079730451,0.5155019542610687,0.30515713384682686
