,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,3009.0760614806495,9015.956524384055,9003.063812322029,1869.9088171953806,3177.302712360978,37357.847996169774,8427.07702044036,7817.797500343664,4285.912066649464,3178.9105004638186,5581.76219320907,23042.265858560997,3848.55742187494,17687.436434026982,6854.976066040044,32192.000782931544
1,2691.119042420566,8326.363195441614,8483.473383145767,1810.8770964469252,3019.686227010023,36092.02340000879,8385.606482487685,7837.788025759554,4295.498153833862,3186.271447969649,5588.516044073916,22804.252816944718,3677.3942027015764,16880.834377329986,6510.075974148777,30525.5787018963
2,2433.460721485845,7767.547227835885,8163.086263083218,1774.477267002572,2922.4975780658315,35311.49728925786,8435.6209092734,7783.03035394136,4269.240123834981,3166.1084787925197,5570.016022615135,21974.244338126715,3430.2582601918557,15716.212909734259,6012.088090461542,28119.496404515994
3,2236.7755144351254,7340.971311742618,7945.468243450303,1749.7532431494612,2856.483684280387,34781.336943048445,8570.71888890941,7744.105528525163,4250.574442852905,3151.775509018025,5556.865169381824,21291.040955689503,3133.762412356499,14318.984218774145,5414.638208076369,25232.85270761482
4,2149.332803919364,7151.323320908614,8227.314503734984,1781.7743674752087,2941.981057713168,35467.969930438034,8847.045181287342,7639.678688346155,4200.498480689783,3113.3232686308666,5521.584290556322,20706.32633578655,2801.5878489587626,12753.620542436272,4745.294420356524,21998.845834657077
5,2214.9497305368636,7293.634992451185,8552.901120865727,1818.7649223096519,3040.7469613708085,36261.16303986141,9323.980207712873,7256.412084508035,4016.7100607846446,2972.19614501121,5392.09667430082,20431.48183034509,2771.542087095051,12612.030699528776,4684.751120938668,21706.324338198763
6,2507.7596435621303,7928.688633560721,9025.666704277435,1872.476777517772,3184.1592443306417,37412.91309162752,9750.58047184207,7170.849590083568,3975.6801471528875,2940.6901682135335,5363.1891636204,21200.478111914577,2871.873174607914,13084.838245036282,4886.921899624993,22683.13431205401
7,2882.083937034804,8740.532751369203,10517.28040356602,2041.9420301795058,3636.636610312779,41046.777771397516,9924.04415127706,7491.81175753802,4129.591625520821,3058.875439327605,5471.627064433251,21975.166168146596,3029.2816509716176,13826.621446998066,5204.105686097938,24215.64206705779
8,3059.6133119908563,9125.563008046382,11173.503990031035,2116.4969205884117,3835.7004296117425,42645.46764265878,9928.858108066617,8066.272024588476,4405.063434758028,3270.404240195559,5665.709955739067,23150.227984260586,3258.523471812919,14906.917348562492,5666.03626589969,26447.50960256929
9,3129.0314943286053,9276.118940382557,11600.066796839556,2164.9595847932133,3965.0972133384685,43684.65863299652,9908.646069280057,8086.418456325074,4414.724283938511,3277.8225958094145,5672.516479958766,23729.09907794475,3489.416004903179,15994.99218710564,6131.293090727106,28695.448250521797
10,3077.1202056402217,9163.532407516774,12265.157543774387,2240.5218912577147,4166.850864069684,45304.95065316303,9754.63359023514,7943.0539269301025,4345.976472195764,3225.032648916093,5624.080401831835,23962.7035617235,3661.9899264711694,16808.24214081222,6479.035799086373,30375.604740336737
11,3008.7950499029685,9015.34705927491,12515.483260909306,2268.9619028520247,4242.786557862802,45914.79339084272,9535.06947600994,8035.80573424852,4390.453888019861,3259.1858875397784,5655.416840521714,23946.358279704047,3945.122326151435,18142.495942549544,7049.557848967962,33132.14370333561
12,2879.881151251144,8735.755293126604,12321.28500517145,2246.898645796408,4183.876992151184,45441.68820098337,9431.992121771516,8475.914583954114,4601.499956901519,3421.243565971736,5804.108756985688,24046.67109535707,4082.5253050972406,18790.003777172158,7326.429832875571,34469.88062614609
13,2905.8252391042447,8792.023495545542,11967.233590734022,2206.6741477031683,4076.476361878544,44579.14924041978,9381.638527811665,8283.771076154053,4509.361087143592,3350.492135227546,5739.192574477626,24274.135388921906,3978.5289693519053,18299.92384816488,7116.873446122925,33457.38628846218
14,2930.594637851562,8845.744002136518,12002.894562288338,2210.725662889371,4087.2940303438822,44666.026389000086,9420.324961368306,8116.318127361646,4429.062118856724,3288.8323068781815,5682.618161374725,24248.18239043412,3755.4449716270756,17248.6465220544,6667.351103143186,31285.470490607604
15,2902.298671273728,8784.374984884646,12594.387592754818,2277.926383761983,4266.721993864137,46107.01987998733,9785.006036163693,7978.127288074945,4362.79525463342,3237.94742553497,5635.9300278708215,24792.768023116012,3773.992526420475,17336.051374074057,6704.725098464705,31466.046989496805
16,2902.7661269285436,8785.388814684946,13470.164502033456,2377.425171737048,4532.386776433092,48240.58487707983,10500.144473135246,7888.251984585365,4319.697213083675,3204.85337836543,5605.565423460829,25025.04270216717,3895.9154102975663,17910.609677947064,6950.40412960203,32653.07178873533
