LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry
BE2-BE1;148.2305142;6;0;BE2;BE1;BE-BE
BE2-NL4;171.6684148;5.6;0;BE2;NL4;BE-NL
DE1-DE2;200.9962553;8.491;0;DE1;DE2;DE-DE
DE1-DE4;308.8830694;10.188;0;DE1;DE4;DE-DE
DE2-DE4;362.1267355;10.189;0;DE2;DE4;DE-DE
DE3-DE2;172.302139;4.379;0;DE3;DE2;DE-DE
DE3-DE4;379.5583315;11.172;0;DE3;DE4;DE-DE
DE3-DK1;279.5821648;3.9;0;DE3;DK1;DE-DK
DE1-NL4;106.1248554;10.2;0;DE1;NL4;DE-NL
DE2-NL3;123.8926936;2;0;DE2;NL3;DE-NL
DK1-DE4;653.6121903;0;0;DK1;DE4;DK-DE
UK1-UK2;289.4308026;3.396;0;UK1;UK2;GB-GB
UK1-UK4;241.3317035;24.086;0;UK1;UK4;GB-GB
UK3-UK2;366.3322942;8.803;0;UK3;UK2;GB-GB
UK4-UK2;279.3136079;12.199;0;UK4;UK2;GB-GB
NL1-NL2;101.5892508;5.595;0;NL1;NL2;NL-NL
NL1-NL4;118.8769472;5.27;0;NL1;NL4;NL-NL
NL2-NL3;103.9168855;5.27;0;NL2;NL3;NL-NL
NL3-NL4;134.8944246;5.27;0;NL3;NL4;NL-NL
BE_B-BE1;74.68451142;2.421;2.421;BE_B;BE1;BE-BE
DE_C-DE2;214.8853067;3.023;3.023;DE_C;DE2;DE-DE
DE_D-DE2;158.518871;3.716;3.716;DE_D;DE2;DE-DE
DE_E-DE3;379.2441148;1.228;1.228;DE_E;DE3;DE-DE
DE_F-DE3;458.8127106;0.864;0.864;DE_F;DE3;DE-DE
DK_B-DK1;160.7904285;0.944;0.944;DK_B;DK1;DK-DK
NL_C-NL1;95.57861968;1.503;1.503;NL_C;NL1;NL-NL
NL_D-NL1;94.46603006;2.929;2.929;NL_D;NL1;NL-NL
NL_D-NL2;74.04608545;2.215;2.215;NL_D;NL2;NL-NL
NL_E-NL3;133.5035255;0.6;0.6;NL_E;NL3;NL-NL
UK_F-UK1;243.4316584;2.85;2.85;UK_F;UK1;UK-UK
UK_F-UK2;273.9853669;2.807;2.807;UK_F;UK2;UK-UK
UK_G-UK1;187.7918736;5.6;5.6;UK_G;UK1;UK-UK
UK_H-UK1;115.7170968;3.464;3.464;UK_H;UK1;UK-UK
UK_B-UK1;173.2831909;0.7188;0.7188;UK_B;UK1;UK-UK
UK_B-UK2;214.5593243;1.43;1.43;UK_B;UK2;UK-UK
UK_D-UK3;193.5717897;2;2;UK_D;UK3;UK-UK
UK_E-UK3;242.8283861;2.4;2.4;UK_E;UK3;UK-UK
