LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
DE1-BE2;189.6097093;1;10;DE1;BE2;DE-BE;onshore
DE1-DE4;308.8830694;0;10;DE1;DE4;DE-DE;onshore
DE2-DE1;200.9962553;0;10;DE2;DE1;DE-DE;onshore
DE3-DE4;379.5583315;2;10;DE3;DE4;DE-DE;onshore
DE3-NO1;714.2865124;1.4;0;DE3;NO1;DE-NO;offshore
DK1-DE4;653.6121903;0.6;0;DK1;DE4;DK-DE;offshore
NL3-DK1;462.6276462;0.7;0;NL3;DK1;NL-DK;offshore
NL3-NO1;794.0765921;0.7;0;NL3;NO1;NL-NO;offshore
NO1-DK1;449.3646383;1.7;0;NO1;DK1;NO-DK;offshore
NO1-UK2;906.6999497;1.4;0;NO1;UK2;NO-GB;offshore
NO1-UK3;867.782167;0;0;NO1;UK3;NO-GB;offshore
UK1-BE1;224.2504975;1;0;UK1;BE1;GB-BE;offshore
UK1-DE2;540.0515793;1.4;0;UK1;DE2;GB-DE;offshore
UK1-NL1;271.6275305;1;0;UK1;NL1;GB-NL;offshore
UK2-DK1;858.3528603;1.4;0;UK2;DK1;GB-DK;offshore
UK3-UK4;597.5544226;2.2;0;UK3;UK4;GB-GB;offshore
BE_A-BE1;75.27570565;3.5;0;BE_A;BE1;BE-BE;offshore
BE_A-UK1;152.640618;0;0;BE_A;UK1;BE-GB;offshore
DE_A-DE2;180.2491219;2.7;0;DE_A;DE2;DE-DE;offshore
DE_A-DE3;250.6269946;0.98;0;DE_A;DE3;DE-DE;offshore
DE_A-DK1;334.5033926;0;0;DE_A;DK1;DE-DK;offshore
DE_A-NL3;151.9545793;0;0;DE_A;NL3;DE-NL;offshore
DE_B-DE1;406.520622;8;0;DE_B;DE1;DE-DE;offshore
DE_B-DE2;245.7801826;6;0;DE_B;DE2;DE-DE;offshore
DE_B-DK1;322.4776422;0;0;DE_B;DK1;DE-DK;offshore
DE_B-NL3;209.4846987;0;0;DE_B;NL3;DE-NL;offshore
DK_A-DE_B;232.9503254;0;0;DK_A;DE_B;DE-DK;offshore
DK_A-DK1;170.0533978;1;0;DK_A;DK1;DK-DK;offshore
NL_A-NL1;150.5294395;6;0;NL_A;NL1;NL-NL;offshore
NL_B-NL1;182.2336713;2;0;NL_B;NL1;NL-NL;offshore
NL_A-NL_B;38.09428446;0;0;NL_A;NL_B;NL-UK;offshore
NL_A-UK1;239.6351529;0;0;NL_A;UK1;NL-UK;offshore
NL_B-UK1;221.5127084;0;0;NL_B;UK1;NL-UK;offshore
NL_B-UK_B;150.1221496;0;0;NL_B;UK_B;NL-UK;offshore
UK_B-UK2;220.0372523;1.5;0;UK_B;UK2;UK-UK;offshore
UK_C-UK2;250.2590003;8;0;UK_C;UK2;UK-UK;offshore
UK_C-DE_B;308.8335634;0;0;UK_C;DE_B;UK-DE;offshore
UK_D-UK3;200.1964345;5.1;0;UK3;UK_D;UK-UK;offshore
UK_E-UK3;252.2352432;2;0;UK3;UK_E;UK-UK;offshore
UK_D-NO1;709.4647374;0;0;NO1;UK_D;UK-NO;offshore
UK_E-NO1;656.5504742;0;0;NO1;UK_E;UK-NO;offshore
