Node,total_demand,industrial_demand,other_demand,PyPsa_demand
BE1,23642884.83412333,7566695.311199871,16076189.522923458,32570000.0
BE2,71807005.45874974,36940553.75218285,34866451.70656689,98919999.99999999
DE1,116564788.66873936,29629619.5734564,86935169.09528297,145450000.0
DE2,20131368.108344674,10254487.517244404,9876880.59110027,25120000.0
DE3,38988497.55059587,12616926.719484255,26371570.831111617,48650000.0
DE4,409407273.56007004,197616083.55165637,211791190.00841367,510860000.0
DK1,53248554.31465382,14400755.97052745,38847798.34412637,49630000.0
NL1,51004331.98189589,8241040.418537192,42763291.563358694,68110000.0
NL2,28463876.94364796,7957530.4274981115,20506346.51614985,38010000.0
NL3,21020284.814738184,5273908.077477306,15746376.737260878,28070000.0
NL4,39164976.69436434,24717287.716701306,14447688.977663033,52300000.00000001
NO1,165405156.9178771,66613850.9695904,98791305.94828671,112610000.00000001
UK1,19789297.20027719,7680973.068135803,12108324.132141389,28030000.0
UK2,90622696.70451587,33562545.60834509,57060151.09617078,128360000.00000001
UK3,34594204.880969755,10195492.78620031,24398712.094769448,49000000.0
UK4,161696137.6303776,43811122.40584288,117885015.22453472,229030000.0
