Technology,Biomass,Biomass,Demand,Hydro - Pump Storage Open Loop,Hydro - Reservoir,PV,PV,Run of River,Run of River,Wind offshore,Wind offshore,Wind onshore,Wind onshore,total
Type,CF,Generation,Demand,Inflow,Inflow,CF,Generation,CF,Generation,CF,Generation,CF,Generation,Generation
BE1,,0.0,23.64288483412334,,,0.10115456621004568,1.3894269927807066,,0.0,,0.0,0.3487714611872146,2.7447839598218082,4.134210952602515
BE2,0.5300000000000001,4.195234080000001,71.80700545874976,,,0.09450139331915768,7.311413813818459,0.3214080219848855,0.41726781026602733,,0.0,0.31695743209466865,10.469286555750102,22.393202259834588
BE_A,,,,,,,,,,0.5306748659327715,16.270491389498773,,,16.270491389498773
BE_B,,,,,,,,,,0.4567456932300245,9.686444337580996,,,9.686444337580996
DE1,0.53,2.7707877629914246,116.56478866873928,,,0.09161814303656117,5.6925845596303954,0.5270719567314032,0.13770571633735612,,0.0,0.28540936037940934,12.843939193491444,21.445017232450624
DE2,0.5299999999999999,3.190772247357575,20.131368108344663,,,0.09181591051387815,3.5379954446323816,,0.0,0.45786835395076175,0.8988486915344037,0.31559417080505187,19.783381886554615,27.410998270078977
DE3,0.5299999999999999,5.057629565903077,38.98849755059585,,,0.09365449743450475,5.002389791913556,,0.0,,0.0,0.3236097395252838,41.12830382528383,51.188323183100465
DE4,0.5299999999999999,24.128663543747916,409.4072735600698,0.5263343793829445,1.0564939265279087,0.09901218055437191,68.13054783253216,0.5270719567314034,20.031853833143295,0.5038979781296584,17.79585146906275,0.2470326625753322,105.10685793644943,235.19377461493553
DE_A,,,,,,,,,,0.5995840307042762,18.057600302637002,,,18.057600302637002
DE_B,,,,,,,,,,0.6039171506690761,74.0643993580555,,,74.0643993580555
DE_C,,,,,,,,,,0.5769307431072406,15.27797993497953,,,15.27797993497953
DE_D,,,,,,,,,,0.5403238191966718,17.58832875536864,,,17.58832875536864
DE_E,,,,,,,,,,0.5391277894170088,5.797659482765683,,,5.797659482765683
DE_F,,,,,,,,,,0.5870096852781984,4.442864984383983,,,4.442864984383983
DK1,0.53,10.402095901200001,53.248554314653774,,,0.09646492531335157,5.46480395084852,,0.0,0.5083028763070133,21.865591634484606,0.4054723865248936,21.8678372795747,59.600328766107836
DK_A,,,,,,,,,,0.6010866698573043,5.265519227949985,,,5.265519227949985
DK_B,,,,,,,,,,0.5467377156606933,4.52265156210992,,,4.52265156210992
NL1,0.53,0.4039337778589697,51.004331981896065,,,0.09886505433667396,3.5312574022740306,,0.0,,0.0,0.3900427303197045,5.348097462296307,9.283288642429307
NL2,0.53,0.4039337778589697,28.46387694364805,,,0.09644506718777841,3.4249924431241334,,0.0,0.39952861877078877,0.797970519698521,0.41140155776359183,3.4451047564763715,8.072001497157997
NL3,0.5299999999999999,4.591698666423091,21.02028481473825,,,0.09484543705821696,5.6270566659806,,0.0,,0.0,0.40736175283936005,14.16322732707607,24.38198265947976
NL4,0.53,0.4039337778589697,39.1649766943644,,,0.09119625832530491,9.873965233138243,,0.0,,0.0,0.31175086748352737,4.0577312523641655,14.335630263361379
NL_A,,,,,,,,,,0.5701969588473093,29.969552157014576,,,29.969552157014576
NL_B,,,,,,,,,,0.572899474924441,10.037198800676206,,,10.037198800676206
NL_C,,,,,,,,,,0.47955726593606113,6.311884778523843,,,6.311884778523843
NL_D,,,,,,,,,,0.4830966399576957,21.769030255655306,,,21.769030255655306
NL_E,,,,,,,,,,0.5747055581130331,3.0206524134421024,,,3.0206524134421024
NO1,0.53,1.3928400000000002e-05,165.405156917877,163.50367750534375,0.0,0.11216644603030945,0.5895468403353065,,0.0,,0.0,0.3760156858390254,19.959947775518582,20.54950854425389
UK1,0.5300000000000001,2.176171469969712,19.789297200277186,,,0.09821751639257162,2.9606845513117386,,0.0,0.43606578891074965,5.020542293360889,0.36829597707072065,5.253322845881055,15.410721160523396
UK2,0.53,19.070668838192834,90.62269670451586,,,0.08641286685608077,3.8708187149526436,,0.0,0.5324024731222613,23.543092914653492,0.39772212736798573,14.063762771211456,60.54834323901042
UK3,0.5300000000000002,2.1355387671428585,34.59420488096975,0.0,0.0,0.07758694124879034,1.8736328333404013,0.24492222860836074,3.2335783174213253,0.4963392013258458,1.2043769988011914,0.3077960258602265,42.38974886751827,50.83687578422404
UK4,0.53,6.5151636646946,161.69613763037756,,,0.09030104382520295,9.568639536988055,0.24492222860836074,1.261519413506021,0.5045966249816871,19.28208624205721,0.3684971530300365,16.79858207687044,53.42599093411633
UK_B,,,,,,,,,,0.5258853268473763,16.80912933406219,,,16.80912933406219
UK_C,,,,,,,,,,0.5878821202884847,41.19877898981701,,,41.19877898981701
UK_D,,,,,,,,,,0.5737605666253973,35.745925912596874,,,35.745925912596874
UK_E,,,,,,,,,,0.5486973389710692,21.259541773156784,,,21.259541773156784
UK_F,,,,,,,,,,0.5618204173354282,27.841190563590693,,,27.841190563590693
UK_G,,,,,,,,,,0.5682949557484445,27.878277349195688,,,27.878277349195688
UK_H,,,,,,,,,,0.5271287072954416,15.99553085654555,,,15.99553085654555
