,Node1_ours,Node2_ours,s_nom,s_nom_max,Country1,Country2
0,BE1,NL1,983.0,10983.0,BE,NL
1,BE1,export,6792.0,16792.0,BE,ex
2,BE2,BE1,3888.0,23888.0,BE,BE
3,BE2,NL1,3396.0,13396.0,BE,NL
4,BE2,NL4,3396.0,13396.0,BE,NL
5,BE2,export,4647.0,44647.0,BE,ex
6,DE1,DE2,8491.0,18491.0,DE,DE
7,DE1,DE4,10188.0,30188.0,DE,DE
8,DE1,NL4,10188.0,30188.0,DE,NL
9,DE2,DE4,10189.0,20189.0,DE,DE
10,DE2,NL3,3396.0,13396.0,DE,NL
11,DE3,DE2,4379.0,14379.0,DE,DE
12,DE3,DE4,11172.0,31172.0,DE,DE
13,DE3,DK1,4379.0,14379.0,DE,DK
14,DE4,DE1,23327.0,33327.0,DE,DE
15,DE4,DE3,3396.0,13396.0,DE,DE
16,DE4,export,20690.0,70690.0,DE,ex
17,DK1,export,3396.0,13396.0,DK,ex
18,NL1,NL2,6792.0,16792.0,NL,NL
19,NL1,NL4,8491.0,18491.0,NL,NL
20,NL2,NL3,3396.0,13396.0,NL,NL
21,NL3,NL4,8758.0,28758.0,NL,NL
22,NO1,export,7284.0,47284.0,NO,ex
23,UK1,UK2,3396.0,13396.0,UK,UK
24,UK1,UK4,24086.0,34086.0,UK,UK
25,UK2,UK4,19684.0,59684.0,UK,UK
26,UK3,UK2,8803.0,28803.0,UK,UK
27,UK3,export,983.0,10983.0,UK,ex
28,UK4,UK2,12199.0,32199.0,UK,UK
29,export,DE4,50988.0,120988.0,ex,DE
30,export,NO1,492.0,10492.0,ex,NO
